number;type;model;size;diameter;efficiency;pressure;power;noise_level;price;-;-
1;ВО;ВО 30-160-040-1;ВО 30-160-040;400;900 - 3600;30 - 170;180;82;18 500;-;-
2;ВО;ВО 30-160-040-2;ВО 30-160-040;400;1200 - 4800;40 - 220;180;87;19 200;-;-
3;ВО;ВО 30-160-040-3;ВО 30-160-040;400;1800 - 7200;50 - 300;250;88;22 800;-;-
4;ВО;ВО 30-160-040-4;ВО 30-160-040;400;2400 - 9600;60 - 350;370;91;28 400;-;-
5;ВО;ВО 30-160-040-5;ВО 30-160-040;400;3600 - 14400;120 - 500;1100;94;75 600;-;-
6;ВО;ВО 30-160-050-1;ВО 30-160-050;500;1800 - 7200;40 - 220;370;86;35 100;-;-
7;ВО;ВО 30-160-050-2;ВО 30-160-050;500;2400 - 9600;60 - 300;550;91;42 300;-;-
8;ВО;ВО 30-160-050-3;ВО 30-160-050;500;3000 - 12000;80 - 350;750;92;51 700;-;-
9;ВО;ВО 30-160-050-4;ВО 30-160-050;500;3600 - 14400;100 - 400;1100;95;68 900;-;-
10;ВО;ВО 30-160-050-5;ВО 30-160-050;500;5400 - 21600;180 - 600;3000;98;185 000;-;-
11;ВО;ВО 30-160-063-1;ВО 30-160-063;630;3600 - 14400;100 - 400;1100;92;55 200;-;-
12;ВО;ВО 30-160-063-2;ВО 30-160-063;630;4800 - 19200;150 - 500;2200;95;82 500;-;-
13;ВО;ВО 30-160-063-3;ВО 30-160-063;630;4800 - 19200;150 - 500;2200;96;88 100;-;-
14;ВО;ВО 30-160-063-4;ВО 30-160-063;630;6000 - 24000;200 - 600;3000;99;112 700;-;-
15;ВО;ВО 30-160-071-1;ВО 30-160-071;710;6000 - 24000;150 - 500;2200;96;98 300;-;-
16;ВО;ВО 30-160-071-2;ВО 30-160-071;710;7200 - 28800;200 - 600;3000;99;124 600;-;-
17;ВО;ВО 30-160-071-3;ВО 30-160-071;710;8400 - 33600;300 - 800;5500;101;156 400;-;-
18;ВО;ВО 30-160-071-4;ВО 30-160-071;710;9000 - 36000;400 - 1000;7500;104;189 200;-;-
19;ВО;ВО 30-160-080-1;ВО 30-160-080;800;8400 - 33600;200 - 600;4000;100;115 800;-;-
20;ВО;ВО 30-160-080-2;ВО 30-160-080;800;9600 - 38400;300 - 800;5500;103;147 500;-;-
21;ВО;ВО 30-160-080-3;ВО 30-160-080;800;12000 - 48000;500 - 1200;11000;104;215 300;-;-
22;ВО;ВО 30-160-080-4;ВО 30-160-080;800;12000 - 48000;500 - 1200;11000;107;242 100;-;-
23;ВО;ВО 30-160-090-1;ВО 30-160-090;900;10800 - 43200;100 - 300;2200;93;128 900;-;-
24;ВО;ВО 30-160-090-2;ВО 30-160-090;900;12000 - 48000;150 - 400;3000;97;154 200;-;-
25;ВО;ВО 30-160-090-3;ВО 30-160-090;900;14400 - 57600;200 - 500;5500;100;198 700;-;-
26;ВО;ВО 30-160-090-4;ВО 30-160-090;900;16800 - 67200;300 - 600;7500;103;235 400;-;-
27;ВО;ВО 30-160-090-5;ВО 30-160-090;900;18000 - 72000;400 - 800;7500;105;278 900;-;-
28;ВО;ВО 30-160-090-6;ВО 30-160-090;900;20400 - 81600;500 - 1000;11000;108;315 600;-;-
29;ВО;ВО 30-160-090-7;ВО 30-160-090;900;24000 - 96000;700 - 1200;15000;109;142 300;-;-
30;ВО;ВО 30-160-090-8;ВО 30-160-090;900;26400 - 105600;800 - 1400;22000;110;173 800;-;-
31;ВО;ВО 30-160-100-1;ВО 30-160-100;1000;16800 - 67200;150 - 400;4000;97;218 500;-;-
32;ВО;ВО 30-160-100-2;ВО 30-160-100;1000;19200 - 76800;200 - 500;5500;100;267 900;-;-
33;ВО;ВО 30-160-100-3;ВО 30-160-100;1000;21600 - 86400;300 - 600;7500;102;302 400;-;-
34;ВО;ВО 30-160-100-4;ВО 30-160-100;1000;24000 - 96000;400 - 800;11000;105;389 700;-;-
35;ВО;ВО 30-160-100-5;ВО 30-160-100;1000;25200 - 100800;500 - 1000;11000;107;478 200;-;-
36;ВО;ВО 30-160-100-6;ВО 30-160-100;1000;28800 - 115200;700 - 1200;18500;110;158 600;-;-
37;ВО;ВО 30-160-100-7;ВО 30-160-100;1000;32400 - 129600;900 - 1500;30000;111;189 400;-;-
38;ВО;ВО 30-160-112-1;ВО 30-160-112;1120;20400 - 81600;200 - 500;5500;101;241 800;-;-
39;ВО;ВО 30-160-112-2;ВО 30-160-112;1120;24000 - 96000;300 - 600;11000;104;296 500;-;-
40;ВО;ВО 30-160-112-3;ВО 30-160-112;1120;27600 - 110400;400 - 800;15000;106;332 100;-;-
41;ВО;ВО 30-160-112-4;ВО 30-160-112;1120;30000 - 120000;500 - 1000;18500;109;425 300;-;-
42;ВО;ВО 30-160-125-1;ВО 30-160-125;1250;27600 - 110400;300 - 600;11000;105;521 700;-;-
43;ВО;ВО 30-160-125-2;ВО 30-160-125;1250;30000 - 120000;400 - 800;15000;108;187 900;-;-
44;ВО;ВО 30-160-125-3;ВО 30-160-125;1250;33600 - 134400;500 - 1000;22000;109;224 600;-;-
45;ВО;ВО 30-160-125-4;ВО 30-160-125;1250;37200 - 148800;600 - 1200;37000;112;273 800;-;-

46;УВОП;УВОП-А-5-2;УВОП-А-5-2;508;10800 - 39600;460 - 95;1100;99;319 400;-;-
47;УВОП;УВОП-Б-5-2;УВОП-Б-5-2;508;13320 - 39600;580 - 95;1500;100;385 200;-;-
48;УВОП;УВОП-В-5-2;УВОП-В-5-2;508;19800 - 54000;700 - 175;2200;98;472 800;-;-
49;УВОП;УВОП-Г-5-2;УВОП-Г-5-2;508;19800 - 64800;770 - 245;3000;98;589 100;-;-
50;УВОП;УВОП-Д-5-2;УВОП-Д-5-2;508;34560 - 79200;800 - 370;4000;97;654 300;-;-
51;УВОП;УВОП-А-6,3-2;УВОП-А-6,3-2;638;35640 - 79200;875 - 150;4000;108;205 500;-;-
52;УВОП;УВОП-Б-6,3-2;УВОП-Б-6,3-2;638;35640 - 79200;875 - 150;5500;107;253 700;-;-
